catcherid,CSAA,CSAA_lb,CSAA_ub
3515,-0.0052048713758969245,-0.024241180677221474,0.015996493639458986
8703,-0.0061291572111421,-0.03174712883710973,0.023615735714315966
3931,-0.0063008524581729675,-0.03212123244088688,0.02372546729322339
3167,-0.007203684784545972,-0.0217067304268031,0.008548254580206471
4875,-0.007968109673598511,-0.02461894402072823,0.010364115857965872
1550,-0.008061293198823816,-0.025663685044034157,0.011433115004395755
1311,-0.00893731295561162,-0.020109716364561936,0.0029748936279597182
10117,-0.00972277386436593,-0.027160227598971798,0.009603195258182151
10156,-0.010151237293814896,-0.03406079237334714,0.017478407515274574
13375,-0.01019525301951485,-0.025925807661398625,0.007063630952637401
7065,-0.010376059681496907,-0.021280475658532028,0.0012426384664576684
5547,-0.010743445595560897,-0.031776784380210976,0.0131337142408397
158409,-0.011096242173546267,-0.02099736869958485,-0.0006053488403749974
14151,-0.011435067950221256,-0.03662047136182206,0.017975590786436957
163493,-0.011730910694094487,-0.03233854823251692,0.011629425234318091
158503,-0.013175713714788095,-0.029437932057743033,0.00477982604294952
6829,-0.013199059174892558,-0.024410713055248112,-0.0012078338538903388
1375,-0.013483692563638239,-0.03702487929082654,0.013795892855977598
165285,-0.013483696681452717,-0.02756865092428168,0.0018580667712415622
1542,-0.013538646620796957,-0.023798052648992263,-0.002627972886144192
2719,-0.013622326857873068,-0.03228999842605179,0.00732353473773889
2143,-0.014252252700289736,-0.03253808584699197,0.006229586809488485
2187,-0.014581648157387106,-0.039577240781836664,0.014726972492992485
8251,-0.015656348770459183,-0.036024106311759174,0.007519552239631022
5594,-0.01675431886438178,-0.029990814128918908,-0.0023732835932613883
5235,-0.017030035520771147,-0.026707311248632515,-0.006753206017260649
4767,-0.01754520163099621,-0.041160236405145545,0.010019750460401988
1898,-0.01761116440434135,-0.03636463413843011,0.003550751474666547
9060,-0.017977054179550478,-0.04101923179099504,0.008829770764784028
162332,-0.01798841998157441,-0.0425951673849686,0.01096138726161
14349,-0.018317991369254827,-0.040903000680852064,0.007886689996439766
3758,-0.018322828031235583,-0.03668373809578385,0.0023596891461131753
4089,-0.01864757274490203,-0.03590189948546013,0.0006489229499499483
7817,-0.018767347990224947,-0.0298868038188288,-0.0068333038584895145
311,-0.019252657387354544,-0.03645048669037276,-1.2422269391243468e-05
2060,-0.020247981112569313,-0.029983320964333315,-0.00988361445642394
